"filename", "language", "Go Checksum File", "Go", "HTML", "Go Module File", "Markdown", "MS SQL", "sqlite3-editor-database", "JSON", "Python", "CSS", "JavaScript", "comment", "blank", "total"
"y:\github\webstress-api\core\master\api\tickets\updateTIcket.go", "Go", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 65
"y:\github\webstress-api\core\master\authentication\login.go", "Go", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"y:\github\webstress-api\core\master\authentication\logout.go", "Go", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"y:\github\webstress-api\core\master\authentication\route.go", "Go", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"y:\github\webstress-api\core\master\authentication\signup.go", "Go", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"y:\github\webstress-api\core\master\dashboard\account.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"y:\github\webstress-api\core\master\dashboard\addons.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"y:\github\webstress-api\core\master\dashboard\api.go", "Go", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"y:\github\webstress-api\core\master\dashboard\attack.go", "Go", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"y:\github\webstress-api\core\master\dashboard\deposit.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"y:\github\webstress-api\core\master\dashboard\faq.go", "Go", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"y:\github\webstress-api\core\master\dashboard\route.go", "Go", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"y:\github\webstress-api\core\master\dashboard\ticket.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"y:\github\webstress-api\core\master\dashboard\tickets.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"y:\github\webstress-api\core\master\dashboard\transaction.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"y:\github\webstress-api\core\master\dashboard\upgrade.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"y:\github\webstress-api\core\master\dashboard\user.go", "Go", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 46
"y:\github\webstress-api\core\master\error.go", "Go", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"y:\github\webstress-api\core\master\internal\login.go", "Go", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 83
"y:\github\webstress-api\core\master\internal\signup.go", "Go", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 182
"y:\github\webstress-api\core\master\landing\landing.go", "Go", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"y:\github\webstress-api\core\master\landing\route.go", "Go", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"y:\github\webstress-api\core\master\newV2.go", "Go", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"y:\github\webstress-api\core\master\sessions\check.go", "Go", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"y:\github\webstress-api\core\master\sessions\flash.go", "Go", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 85
"y:\github\webstress-api\core\master\sessions\session.go", "Go", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 27
